date;timestamp;TID;PID;loglevel;component;logmessage
04-21;14:11:05.474;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:05.474;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:05.474;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:05.474;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:05.474;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:05.478;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:05.478;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:05.481;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:05.484;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:05.485;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:05.485;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:05.485;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:05.488;638;4007;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:05.488;638;4007;D;PackageWatchdog;Received supported packages []
04-21;14:11:05.488;638;4007;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:05.490;638;870;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:05.490;638;870;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:05.492;638;870;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:05.615;638;4007;I;RescueParty;Starting to observe: [android], updated namespace: wifi
04-21;14:11:05.615;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:05.616;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:05.616;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:05.616;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:05.616;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:05.616;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:05.616;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:05.620;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:05.625;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:05.625;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:05.625;638;638;I;ExplicitHealthCheckController;Not binding to service, service already connecting
04-21;14:11:05.625;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:05.625;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:05.625;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:05.625;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:05.628;638;4763;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:05.628;638;4763;D;PackageWatchdog;Received supported packages []
04-21;14:11:05.628;638;4763;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:05.629;638;4763;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:05.629;638;4763;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:05.632;638;4763;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:05.785;638;4763;I;RescueParty;Starting to observe: [android], updated namespace: settings_stats
04-21;14:11:05.785;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:05.786;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:05.786;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:05.786;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:05.790;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:05.790;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:05.796;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:05.802;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:05.802;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:05.802;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
